Amount,AmountOfSecurityOwned,CIK,OwnershipForm,Price,SecuritiesAcquirednDisposed,TitleOfSecurity,TransactionCode,TransactionDate
,"1,850.72",737758,D,,,Common Stock,,
,994.643,737758,I,,,Common Stock,,
"3,051","3,051",737758,D,0,A,Common Stock,A,12/18/2019
"1,392","1,659",737758,D,75.75,D,Common Stock,F,12/18/2019
,195.789,737758,I,,,Common Stock,,
,"35,653.21",737758,D,,,Performance Share Units,,
"1,464","5,041.60",737758,D,0,A,Common Stock,A,12/18/2019
419,"4,622.60",737758,D,75.75,D,Common Stock,F,12/18/2019
,269.062,737758,I,,,Common Stock,,
"4,882","4,882",737758,D,0,A,Performance Share Units,A,12/18/2019
,"11,879.26",737758,D,,,Common Stock,,
,"3,546.52",737758,I,,,Common Stock,,
,"36,592",98246,D,,,,,
,543,98246,I,,,,,
"7,079","7,079",737758,D,0,A,Common Stock,A,12/18/2019
"2,167","4,912",737758,D,75.75,D,Common Stock,F,12/18/2019
,309.63,737758,I,,,Common Stock,,
"19,527","29,409",1273902,D,31.25,A,Common Stock,M,12/19/2019
"19,527","9,882",1273902,D,81.2669,D,Common Stock,S,12/19/2019
,53.567,737758,I,,,Common Stock,,
,"109,805.54",737758,D,,,Performance Share Units,,
"19,957","29,839",1273902,D,20.37,A,Common Stock,M,12/19/2019
"19,957","9,882",1273902,D,80.3745,D,Common Stock,S,12/19/2019
"20,000","29,882",1273902,D,38.99,A,Common Stock,M,12/19/2019
"20,000","9,882",1273902,D,78.99,D,Common Stock,S,12/19/2019
,"193,467",1381668,D,,,Common Stock,,
,"94,644",1381668,I,,,Common Stock,,
,"8,186",1381668,I,,,Common Stock,,
,"115,738",1381668,I,,,Common Stock,,
,"20,800",1381668,I,,,Common Stock,,
,"17,800",1381668,I,,,Common Stock,,
,"7,200",1381668,I,,,Common Stock,,
,"6,200",1381668,I,,,Common Stock,,
,"5,000",1381668,I,,,Common Stock,,
,"72,000",1381668,D,,,Common Stock,,
,"9,330",1381668,I,,,Common Stock,,
,"12,770",1381668,I,,,Common Stock,,
,"48,807",1381668,D,,,Common Stock,,
,"43,235",1381668,I,,,Common Stock,,
,"8,842",1381668,I,,,Common Stock,,
,"4,700",1381668,I,,,Common Stock,,
,"2,000",1381668,I,,,Common Stock,,
"5,348","155,356",1094285,D,0,A,Common Stock,M,12/20/2019
"2,651","152,705",1094285,D,342.28,D,Common Stock,F,12/20/2019
41,"315,255",97517,D,732.03,A,Common Stock,P,12/19/2019
"5,400","130,201",1222619,D,0,D,Common Stock,G,12/18/2019
,"1,517",1222619,I,,,Common Stock,,
170,"53,443",1245010,D,0,A,COMMON STOCK,A,12/20/2019
13,"53,456",1245010,D,0,A,COMMON STOCK,A,12/20/2019
,"84,527",1750019,I,,,Common Stock,,
,"38,850",1750019,D,,,Common Stock,,
"25,588",0,1047075,D,,D,Common Stock,D,12/18/2019
"8,100","19,669",1335749,D,167.497,D,Common Stock,S,12/18/2019
,275.96,1335749,I,,,Common Stock,,
458,"89,217",1750019,I,17.006,D,Common Stock,S,12/18/2019
"2,433","191,309",1750019,I,17.006,D,Common Stock,S,12/18/2019
